datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""measurements"":""C:17.1; W:101.5; T:28.3; TAIL:75"", ""weight"":""49"" }"	urn:catalog:LACM:Birds:109323	109323			GRIFFITH WILDLIFE BIOLOGY			male				native	present	skeleton												1991-04-17		107	107	1991	4	17	17 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		VIC OCEANSIDE; SAN LUIS REY R	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | VIC OCEANSIDE; SAN LUIS REY R												38 38 37 N	097 47 41 W	decimal degrees		38.6436176	-97.7947655	WGS84	3038								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 2 X 2; RT= 1 X 1"", ""measurements"":""C:15.2; W:111; T:25.1; TAIL:74"", ""weight"":""45.2"" }"	urn:catalog:LACM:Birds:110172	110172	WEIGHT = AFTER 6 YRS IN FREEZER		GRIFFITH WILDLIFE BIOLOGY			male				native	present	skeleton												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""L+R TESTES= 1.5 X 1.5"" }"	urn:catalog:LACM:Birds:110173	110173			GRIFFITH WILDLIFE BIOLOGY			male				native	present	skeleton												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""measurements"":""C:16.2; W:108; T:25.1; TAIL:70"", ""weight"":""55.0"" }"	urn:catalog:LACM:Birds:110174	110174	WEIGHT= AFTER 6 YRS IN FREEZER		GRIFFITH WILDLIFE BIOLOGY			male				native	present	skeleton												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""L+R TESTES= 2 X 2"", ""measurements"":""C:15.6; W:107; T:21.5; TAIL:75"", ""weight"":""46.5"" }"	urn:catalog:LACM:Birds:110175	110175	WEIGHT= AFTER 6 YRS IN FREEZER		GRIFFITH WILDLIFE BIOLOGY			male				native	present	skeleton												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY R., WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 2 X 2; RT= 2 X 1"" }"	urn:catalog:LACM:Birds:110339	110339			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""L+R TESTES=  5 X 5"", ""measurements"":""C:15.2; W:98; T:23; TAIL:67;"" }"	urn:catalog:LACM:Birds:110340	110340			GRIFFITH WILDLIFE BIOL			male				native	present	skeleton												1991-05-03		123	123	1991	5	3	03 MAY 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 6 X 5; RT= 4 X 4"", ""weight"":""39.0"" }"	urn:catalog:LACM:Birds:111719	111719			GRIFFITH WILDLIFE BIOLOGY			male				native	present	skin, skull												1991-04-27		117	117	1991	4	27	27 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; CAMP PENDLETON MARINE CORPS BASE	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; CAMP PENDLETON MARINE CORPS BASE												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""gonads"":""LT= 2 X 1; RT= 1 X 1"" }"	urn:catalog:LACM:Birds:111721	111721			GRIFFITH WILDLIFE BIOLOGY			male				native	present	skin, skull												1991-04-07		97	97	1991	4	7	07 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY RIVER, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY RIVER, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts									urn:lsid:biocol.org:col:34802	urn:lsid:biocol.org:col:34946		LACM	Birds			PreservedSpecimen			"{""measurements"":""C=16.8; W=137; T=25.7; TAIL=75"", ""weight"":""40.5"" }"	urn:catalog:LACM:Birds:111723	111723	WEIGHT= AFTER 2 YRS IN FREEZER		GRIFFITH WILDLIFE BIOLOGY			male				native	present	skin, skull												1991-04-07		97	97	1991	4	7	07 APR 1991							NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO |  |  |  |	North America				United States	US	California	San Diego		OCEANSIDE; SAN LUIS REY RIVER, WHELAN DAIRY	NORTH AMERICA | UNITED STATES | CALIFORNIA | SAN DIEGO CO | OCEANSIDE; SAN LUIS REY RIVER, WHELAN DAIRY												33 13 44 N	117 18 25 W	decimal degrees		33.228938	-117.306812	WGS84	8867								VertNet Georeferencing Guidelines		requires verification																																				Molothrus ater obscurus							Passeriformes | Icteridae | Molothrus |	Animalia	Chordata	Aves	Passeriformes	Icteridae	Molothrus		ater	obscurus	subspecies				ICZN			
