Location,Site Description,Latitude,Longitude,MAT,MAP,ANPP,Biomass Increment,Litterfall,Foliar N,Foliar P,k,Soil Respiration,Soil N,Inorganic N,Soil P,Elevation,Soil Type,References
Brazil,Curua-Una reserve,-2,-54,26,1900,17.3,,9.7,18,,,,,,,,Oxisol,Smith et al. (1998); Smith et al. (2002)
Brazil,RAINFOR - RESEX Chico Mendes: Seringal Porongaba 2,-10.6,-68.3,25.8,1904,9.7,,,19.5,,,,,,,200,,Malhi et al. (2004); Fyllas et al. (2009)
Brazil,RAINFOR - Bionte 4,-2.6,-60.2,27.2,2272,13,5.1,,19.9,0.54,,,0.16,,111,73,Oxisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Brazil,RAINFOR - Caxiuana 3,-1.7,-51.5,27,2314,,,,20.6,0.55,,,,,,15,Oxisol,Malhi et al. (2004); Fyllas et al. (2009)
Brazil,RAINFOR - Mocambo,-1.5,-48.5,26.7,2933,12.9,5.1,,21.4,0.74,,,0.25,,101,24,Oxisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Brazil,RAINFOR - Caxiuana 2,-1.7,-51.5,28.9,2314,13.5,4.4,9.2,22.1,0.74,,,0.07,,115,15,Oxisol,Chave et al. (2010); Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Brazil,RAINFOR - RESEX Chico Mendes: Seringal Dois Irm os 1,-10.6,-68.3,25.9,1870,13.5,,,22.6,0.95,,,,,,200,,Malhi et al. (2004); Fyllas et al. (2009)
Brazil,RAINFOR - Caxiuana 1,-1.7,-51.5,26.9,2489,12.7,4.9,7.8,23.8,0.6,,,0.08,,115,15,Oxisol,Chave et al. (2010); Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Brazil,Cerrado IBGE Reserve,-15.9,-47.9,24,1500,7,,2.3,12,0.6,0.3,14,0.17,3,356,1100,Oxisol,Grace et al. (2006); Nardoto et al. (2006); Pinto et al. (2002); Resende (2001)
Brazil,Gallery Forest - Cerrado,-15.9,-47.9,24,1500,12.2,,7.1,17,1.1,0.4,,0.49,20,,1100,Oxisol,Parron et al. (2004)
Brazil,"Sao Gabriel da Cachoeira, Amazonas",0.2,-66,,3400,18.4,,10.3,22,0.8,,,0.13,,,100,Oxisol,Nardoto et al. 2008
Camaroon,Korup,5.1,8.3,28,5500,,,,17,0.65,,,,,,100,,Chuyong et al. (2000)
