"","xsite","ysite"
"48",27,-175
"49",27,-176.5
"50",28,-175
"51",28,-176
"52",28.5,-160.5
"55",29,-175.5
"58",29.5,-160
"59",29.5,-161
"60",30,-184
"63",31,-122
"64",31.5,-143
"67",32.5,-141
"69",33,-122
"70",33.5,-120
"71",33.5,-137
"72",34,-141
"74",34.5,-114
"82",37,-160.5
"83",37,-161.5
"85",37.5,-161.5
"309",20.5,-257.5
"311",21,-206
"312",21,-237
"318",23,-231
"320",26,-285
"322",26.5,-265
"324",27,-265.5
"325",27,-285
"326",27.5,-264.5
"333",35.5,-273.5
"334",35.5,-283.5
"335",35.5,-288.5
"336",35.5,-297.5
"339",36.5,-273
"340",36.5,-295.5
"509",23,-302.5
"518",21,-385
"519",22.5,-385
"521",22.5,-397
"522",21.5,-398
"523",23.5,-398.5
"528",28,-339.5
"530",27.5,-341
"539",28,-371.5
"540",27,-373
"545",38.5,-309
"546",39.5,-309
"547",36,-312
"548",39,-320.5
"549",35.5,-324.5
"788",23,-477.5
"790",23.5,-402.5
"791",23.5,-424
"796",28,-444.5
"800",31,-412.5
"801",31,-431.5
"805",33,-441.5
"808",35.5,-456.5
"810",36,-457
"812",36.5,-457
"814",37.5,-456.5
"1025",23.5,-535.5
"1027",20.5,-551
"1035",27,-559.5
"1037",25.5,-582.5
"1039",33,-512.5
"1040",34,-516.5
"1042",31,-529
"1046",34,-546.5
"1053",32.5,-596
"1056",40,-536.5
"1057",38.5,-573.5
"1059",36,-596.5
"1199",34,-616
"1200",33,-615.5
"1201",32,-615.5
"1202",29,-602
"1235",39,-632
"1236",39.5,-633
"1243",26,-654
"1244",26,-653.5
"1246",34,-646
"1251",30,-656
"1271",24,-669.5
"1272",23,-669
"1273",22,-670
"1281",28.5,-686
"1282",30,-684.5
"1284",39.5,-681
"1285",40,-682
"1286",39,-682.5
