modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	organismquantity	organismquantitytype	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	parenteventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplesizevalue	samplesizeunit	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks	dataset_url	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	migrator_version	dataset_pubdate	lastindexed	iptlicense
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25376	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25376	HHK-2505	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-20		293	293	1917	10	20	20 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25380	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25380	HHK-2509	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-08-27		239	239	1917	8	27	27 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Anas acuta							ANSE | Anatidae | Anas	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas		acuta		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=26584	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					26584		PIERCE, W. M.				female	adult			native	present	skin in alcohol																			1914-12-29		363	363	1914	12	29	29 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		WARNER'S RANCH	NA | USA | CA | SAN DIEGO CO | WARNER'S RANCH											33.2333333	-116.7	not recorded (forced WGS84)				33 14N, 116 42W												requires verification																																				Eremophila alpestris actia							PASS | Alaudidae | Eremophila	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Eremophila		alpestris	actia	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=26588	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					26588		PIERCE, W. M.				male	adult			native	present	skin in alcohol																			1914-12-29		363	363	1914	12	29	29 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		WARNER'S RANCH	NA | USA | CA | SAN DIEGO CO | WARNER'S RANCH											33.2333333	-116.7	not recorded (forced WGS84)				33 14N, 116 42W												requires verification																																				Eremophila alpestris actia							PASS | Alaudidae | Eremophila	Animalia	Chordata	Aves	Passeriformes	Alaudidae	Eremophila		alpestris	actia	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27137	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27137		PIERCE, W. M.				male	adult			native	present	skin in alcohol																			1913-10-19		292	292	1913	10	19	19 OCT 1913										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		OCEANSIDE AREA	NA | USA | CA | SAN DIEGO CO | OCEANSIDE AREA											33.2	-117.3833333	not recorded (forced WGS84)				33 12N, 117 23W												requires verification																																				Passerculus sandwichensis rostratus							PASS | Emberizidae | Passerculus	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus		sandwichensis	rostratus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27147	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27147		PIERCE, W. M.				female	adult			native	present	skin in alcohol							MISSING FEB 1983												1914-12-29		363	363	1914	12	29	29 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		WARNER'S RANCH	NA | USA | CA | SAN DIEGO CO | WARNER'S RANCH											33.2333333	-116.7	not recorded (forced WGS84)				33 14N, 116 42W												requires verification																																				Passerculus sandwichensis anthinus							PASS | Emberizidae | Passerculus	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus		sandwichensis	anthinus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27148	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27148		KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-11-06		310	310	1917	11	6	06 NOV 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		SAN DIEGO	NA | USA | CA | SAN DIEGO CO | SAN DIEGO											32.7166667	-117.15	not recorded (forced WGS84)				32 43N, 117 09W												requires verification																																				Passerculus sandwichensis anthinus							PASS | Emberizidae | Passerculus	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus		sandwichensis	anthinus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27404	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27404		PIERCE, W. M.				male	adult			native	present	skin in alcohol																			1914-12-30		364	364	1914	12	30	30 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		LA JOLLA	NA | USA | CA | SAN DIEGO CO | LA JOLLA											32.8333333	-117.3	not recorded (forced WGS84)				32 50N, 117 18W												requires verification																																				Pluvialis squatarola							CHAR | Charadriidae | Pluvialis	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis		squatarola		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27410	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27410		PIERCE, W. M.				male	adult			native	present	skin in alcohol																			1914-12-29		363	363	1914	12	29	29 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		WARNER'S RANCH	NA | USA | CA | SAN DIEGO CO | WARNER'S RANCH											33.2333333	-116.7	not recorded (forced WGS84)				33 14N, 116 42W												requires verification																																				Calidris minutilla							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		minutilla		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27422	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27422		PIERCE, W. M.				female	adult			native	present	skin in alcohol																			1925-01-31		31	31	1925	1	31	31 JAN 1925										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		LA JOLLA AREA	NA | USA | CA | SAN DIEGO CO | LA JOLLA AREA											32.8333333	-117.3	not recorded (forced WGS84)				32 50N, 117 18W												requires verification																																				Limosa fedoa							CHAR | Scolopacidae | Limosa	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa		fedoa		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25339	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25339	HHK-2466	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1910-05-14		134	134	1910	5	14	14 MAY 1910										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25340	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25340	HHK-2467	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-05-15		135	135	1917	5	15	15 MAY 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25342	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25342	HHK-2469	KIMBALL, H. H.				male	adult			native	present	skin in alcohol							DONATED TO M. HACHISUKA												1917-05-16		136	136	1917	5	16	16 MAY 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		CAMPO	NA | USA | CA | SAN DIEGO CO | CAMPO											32.6166667	-116.4666667	not recorded (forced WGS84)				32 37N, 116 28W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25351	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25351	HHK-2478	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-08-17		229	229	1917	8	17	17 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Phalaropus lobatus							CHAR | Scolopacidae | Phalaropus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Phalaropus		lobatus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25356	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25356	HHK-2483	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-08-25		237	237	1917	8	25	25 AUG 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25359	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25359	HHK-2487	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-09-18		261	261	1917	9	18	18 SEP 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Selasphorus sasin sasin							APOD | Trochilidae | Selasphorus	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Selasphorus		sasin	sasin	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25360	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25360	HHK-2488	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-09-25		268	268	1917	9	25	25 SEP 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Calypte anna							APOD | Trochilidae | Calypte	Animalia	Chordata	Aves	Apodiformes	Trochilidae	Calypte		anna		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
