modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	organismquantity	organismquantitytype	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	parenteventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplesizevalue	samplesizeunit	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks	dataset_url	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	migrator_version	dataset_pubdate	lastindexed	iptlicense
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25364	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25364	HHK-2492	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-10-12		285	285	1917	10	12	12 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Chondestes grammacus strigatus							PASS | Emberizidae | Chondestes	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Chondestes		grammacus	strigatus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25365	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25365	HHK-2493	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-10-12		285	285	1917	10	12	12 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Chondestes grammacus strigatus							PASS | Emberizidae | Chondestes	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Chondestes		grammacus	strigatus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25366	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25366	HHK-2494	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-12		285	285	1917	10	12	12 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Pipilo fuscus senicula							PASS | Emberizidae | Pipilo	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Pipilo		fuscus	senicula	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25373	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25373	HHK-2502	KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-20		293	293	1917	10	20	20 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Calidris alpina pacifica							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		alpina	pacifica	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25375	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25375	HHK-2504	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-10-20		293	293	1917	10	20	20 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=25377	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					25377	HHK-2506	KIMBALL, H. H.				female	adult			native	present	skin in alcohol																			1917-10-22		295	295	1917	10	22	22 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Limnodromus scolopaceus							CHAR | Scolopacidae | Limnodromus	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus		scolopaceus		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=26941	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					26941		KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-10-02		275	275	1917	10	2	02 OCT 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		NATIONAL CITY	NA | USA | CA | SAN DIEGO CO | NATIONAL CITY											32.6833333	-117.1	not recorded (forced WGS84)				32 41N, 117 06W												requires verification																																				Carduelis psaltria hesperophilus							PASS | Fringillidae | Carduelis	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carduelis		psaltria	hesperophilus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27149	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27149		KIMBALL, H. H.				male	adult			native	present	skin in alcohol																			1917-11-06		310	310	1917	11	6	06 NOV 1917										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		SAN DIEGO	NA | USA | CA | SAN DIEGO CO | SAN DIEGO											32.7166667	-117.15	not recorded (forced WGS84)				32 43N, 117 09W												requires verification																																				Passerculus sandwichensis anthinus							PASS | Emberizidae | Passerculus	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Passerculus		sandwichensis	anthinus	subspecies				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27405	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27405		PIERCE, W. M.				female	adult			native	present	skin in alcohol																			1914-12-30		364	364	1914	12	30	30 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		LA JOLLA	NA | USA | CA | SAN DIEGO CO | LA JOLLA											32.8333333	-117.3	not recorded (forced WGS84)				32 50N, 117 18W												requires verification																																				Calidris alba							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		alba		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27409	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27409		PIERCE, W. M.				female	adult			native	present	skin in alcohol																			1914-12-29		363	363	1914	12	29	29 DEC 1914										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		WARNER'S RANCH	NA | USA | CA | SAN DIEGO CO | WARNER'S RANCH											33.2333333	-116.7	not recorded (forced WGS84)				33 14N, 116 42W												requires verification																																				Calidris minutilla							CHAR | Scolopacidae | Calidris	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris		minutilla		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
2015-02-26			http://vertnet.org/resources/norms.html		http://portal.vertnet.org/o/ucla/birds?id=27421	urn:lsid:biocol.org:col:34960			UCLA	Birds			PreservedSpecimen					27421		PIERCE, W. M.				male	adult			native	present	skin in alcohol																			1925-01-29		29	29	1925	1	29	29 JAN 1925										NA | USA | CA | SAN DIEGO CO |  |  |  |							CA	SAN DIEGO CO		LA JOLLA AREA	NA | USA | CA | SAN DIEGO CO | LA JOLLA AREA											32.8333333	-117.3	not recorded (forced WGS84)				32 50N, 117 18W												requires verification																																				Limosa fedoa							CHAR | Scolopacidae | Limosa	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa		fedoa		species				ICZN					8631295a-f762-11e1-a439-00145eb45e9a	c0dc3c80-23f9-11dc-98d1-b8a03c50a862						CC0
